,cell_type_dc_sub_final
552,Breast cancer subtype 1
553,Breast cancer subtype 1
554,Breast cancer subtype 1
555,Breast cancer subtype 4
556,Breast cancer subtype 1
557,Stromal cells
558,Macrophages
559,Endothelial cells
560,Breast cancer subtype 1
561,Breast cancer subtype 1
562,Breast cancer subtype 1
563,Breast cancer subtype 1
565,Breast cancer subtype 1
566,Breast cancer subtype 1
567,Breast cancer subtype 1
568,Breast cancer subtype 1
569,Breast cancer subtype 1
570,Macrophages
571,Breast cancer subtype 1
572,Breast cancer subtype 1
573,Breast cancer subtype 3
574,Smooth muscle cells
575,Stromal cells
576,Stromal cells
577,Endothelial cells
578,B cells
579,B cells
580,T cells
581,Breast cancer subtype 5
582,T cells
583,T cells
584,T cells
585,Stromal cells
586,B cells
587,Stromal cells
588,Macrophages
589,T cells
590,Macrophages
592,Stromal cells
593,Stromal cells
594,Endothelial cells
595,Breast myoepithelial cells
596,Smooth muscle cells
597,Macrophages
598,Breast myoepithelial cells
601,Breast cancer subtype 4
602,Breast cancer subtype 4
603,Endothelial cells
604,Breast myoepithelial cells
606,T cells
608,Breast myoepithelial cells
609,Breast cancer subtype 4
610,Breast cancer subtype 4
611,Macrophages
612,Breast cancer subtype 4
613,Breast myoepithelial cells
614,Breast cancer subtype 4
616,Smooth muscle cells
617,Breast cancer subtype 2
618,T cells
620,Breast cancer subtype 2
622,Breast cancer subtype 1
623,Breast cancer subtype 4
624,Breast myoepithelial cells
626,Breast myoepithelial cells
627,Breast cancer subtype 5
628,Endothelial cells
629,Breast myoepithelial cells
630,Breast cancer subtype 4
631,Breast cancer subtype 1
632,Breast cancer subtype 1
633,Macrophages
634,B cells
635,Macrophages
636,T cells
638,Breast cancer subtype 1
640,Macrophages
641,Macrophages
642,T cells
643,Breast cancer subtype 1
644,T cells
645,T cells
646,T cells
647,T cells
648,T cells
649,T cells
650,T cells
651,T cells
652,T cells
653,B cells
654,T cells
655,T cells
656,T cells
657,T cells
658,T cells
659,Macrophages
661,T cells
662,T cells
663,T cells
664,T cells
666,Macrophages
667,Stromal cells
668,Macrophages
669,T cells
670,T cells
671,T cells
672,T cells
673,T cells
674,T cells
675,T cells
676,Macrophages
677,T cells
678,Endothelial cells
679,T cells
680,T cells
681,T cells
682,T cells
683,Stromal cells
684,Endothelial cells
685,Endothelial cells
686,T cells
688,B cells
689,T cells
690,Endothelial cells
691,T cells
692,Stromal cells
693,T cells
694,Macrophages
695,Stromal cells
696,Endothelial cells
697,Endothelial cells
698,Macrophages
699,T cells
700,T cells
701,Stromal cells
702,T cells
703,Stromal cells
705,Stromal cells
706,Stromal cells
707,Endothelial cells
708,Breast myoepithelial cells
709,Macrophages
710,T cells
711,Macrophages
712,Breast myoepithelial cells
713,Endothelial cells
714,Macrophages
715,Breast myoepithelial cells
716,Breast myoepithelial cells
717,Breast myoepithelial cells
718,B cells
719,Breast myoepithelial cells
720,Breast myoepithelial cells
721,Breast myoepithelial cells
722,Breast cancer subtype 4
723,T cells
724,Breast cancer subtype 4
725,Breast cancer subtype 4
726,Breast cancer subtype 4
727,Breast cancer subtype 4
728,Breast cancer subtype 4
730,Breast cancer subtype 4
731,Breast cancer subtype 4
732,Breast cancer subtype 4
733,Breast myoepithelial cells
734,Breast cancer subtype 4
735,Breast cancer subtype 4
736,Breast cancer subtype 4
737,Breast myoepithelial cells
738,Breast cancer subtype 4
739,Breast myoepithelial cells
740,Breast myoepithelial cells
741,Breast cancer subtype 2
742,Breast myoepithelial cells
743,Breast cancer subtype 4
744,Breast cancer subtype 2
745,Breast cancer subtype 4
746,Breast cancer subtype 4
747,Breast cancer subtype 4
748,Breast cancer subtype 4
749,Breast cancer subtype 4
750,Breast cancer subtype 2
752,Breast cancer subtype 4
753,Breast cancer subtype 4
754,Breast myoepithelial cells
755,Breast myoepithelial cells
756,Breast cancer subtype 4
757,Breast cancer subtype 4
758,Breast cancer subtype 4
759,Breast cancer subtype 4
760,Breast cancer subtype 4
761,Breast cancer subtype 4
762,Breast cancer subtype 4
763,Breast cancer subtype 4
764,Breast myoepithelial cells
765,Breast myoepithelial cells
766,Breast cancer subtype 4
767,Breast cancer subtype 4
768,Breast cancer subtype 4
769,Breast cancer subtype 4
770,Breast cancer subtype 4
771,Breast cancer subtype 4
772,Breast cancer subtype 4
773,Breast cancer subtype 4
774,Breast cancer subtype 4
775,Breast cancer subtype 4
776,Breast cancer subtype 4
777,Breast cancer subtype 4
778,Breast cancer subtype 4
779,Breast cancer subtype 4
780,Breast cancer subtype 4
781,Breast cancer subtype 2
782,Breast cancer subtype 4
783,Breast cancer subtype 4
784,Breast myoepithelial cells
785,Breast cancer subtype 2
786,Breast myoepithelial cells
787,Breast myoepithelial cells
788,Breast cancer subtype 4
789,Breast myoepithelial cells
791,Breast myoepithelial cells
792,Breast myoepithelial cells
793,Endothelial cells
794,Endothelial cells
795,Endothelial cells
797,Endothelial cells
798,Endothelial cells
799,T cells
800,Endothelial cells
801,Endothelial cells
802,Macrophages
803,Endothelial cells
804,B cells
805,Macrophages
806,T cells
807,T cells
808,Breast cancer subtype 3
809,B cells
811,T cells
812,T cells
813,Breast cancer subtype 1
814,Breast cancer subtype 1
815,Macrophages
816,T cells
817,Breast cancer subtype 1
819,T cells
821,T cells
822,T cells
824,Stromal cells
825,Breast cancer subtype 1
827,Breast cancer subtype 1
829,Breast cancer subtype 3
831,T cells
832,Breast cancer subtype 1
833,Breast cancer subtype 1
834,Breast cancer subtype 1
835,Breast cancer subtype 1
836,Breast cancer subtype 1
837,Macrophages
838,Breast cancer subtype 1
839,Breast cancer subtype 1
840,T cells
841,T cells
843,Macrophages
844,T cells
845,T cells
846,T cells
847,Macrophages
848,Stromal cells
849,Stromal cells
850,B cells
851,T cells
852,T cells
853,Smooth muscle cells
854,T cells
855,Endothelial cells
857,Macrophages
858,Macrophages
859,Endothelial cells
860,Endothelial cells
861,Macrophages
862,Breast cancer subtype 1
863,Macrophages
864,Stromal cells
865,Breast cancer subtype 1
866,Macrophages
867,Endothelial cells
868,Stromal cells
869,Breast cancer subtype 1
870,T cells
871,T cells
872,T cells
874,Endothelial cells
875,T cells
876,Breast cancer subtype 1
877,Breast cancer subtype 1
878,T cells
879,B cells
880,Breast cancer subtype 1
881,Stromal cells
882,Breast myoepithelial cells
883,Endothelial cells
884,Endothelial cells
885,Stromal cells
886,Macrophages
887,T cells
888,B cells
889,Endothelial cells
890,B cells
892,T cells
893,B cells
894,Stromal cells
895,T cells
896,T cells
897,Endothelial cells
898,T cells
899,T cells
900,T cells
901,Endothelial cells
902,T cells
903,T cells
904,T cells
905,T cells
906,T cells
907,T cells
908,T cells
909,Macrophages
910,T cells
911,T cells
913,T cells
914,Macrophages
916,T cells
918,T cells
920,T cells
921,Endothelial cells
923,T cells
924,T cells
926,Breast myoepithelial cells
927,Breast cancer subtype 4
928,Breast cancer subtype 4
929,Breast cancer subtype 4
930,Breast cancer subtype 4
931,Breast cancer subtype 4
932,Breast cancer subtype 4
933,Breast cancer subtype 4
934,Breast cancer subtype 4
935,Breast cancer subtype 4
936,Breast cancer subtype 4
937,Breast cancer subtype 4
938,Breast cancer subtype 4
939,Breast cancer subtype 4
940,Breast cancer subtype 4
941,Breast cancer subtype 4
942,Macrophages
943,Stromal cells
944,Stromal cells
945,Breast myoepithelial cells
946,Breast cancer subtype 4
947,Breast cancer subtype 4
948,Breast cancer subtype 4
949,Breast cancer subtype 4
950,Breast cancer subtype 4
951,Breast cancer subtype 4
952,Breast cancer subtype 4
953,Breast cancer subtype 4
954,Breast cancer subtype 4
955,Breast cancer subtype 4
956,Breast cancer subtype 4
957,Breast cancer subtype 4
959,Breast cancer subtype 4
960,Breast cancer subtype 1
961,Breast cancer subtype 4
962,Endothelial cells
963,Breast cancer subtype 4
964,Breast cancer subtype 4
965,Breast cancer subtype 4
966,Breast cancer subtype 2
967,Breast cancer subtype 4
968,Breast cancer subtype 4
969,Breast cancer subtype 4
970,Breast cancer subtype 4
971,Breast cancer subtype 4
972,T cells
973,Breast cancer subtype 4
974,Breast cancer subtype 4
975,Breast cancer subtype 4
976,Macrophages
977,Breast cancer subtype 4
978,Breast cancer subtype 4
979,Breast cancer subtype 5
980,Breast myoepithelial cells
981,Macrophages
982,Breast cancer subtype 4
983,Breast cancer subtype 4
984,Breast cancer subtype 5
985,Breast cancer subtype 4
986,Breast cancer subtype 4
987,Breast cancer subtype 4
988,Breast cancer subtype 4
989,Breast myoepithelial cells
990,Breast cancer subtype 4
991,Endothelial cells
992,Breast myoepithelial cells
993,Breast cancer subtype 4
994,Breast cancer subtype 4
995,Breast myoepithelial cells
996,Endothelial cells
997,Breast myoepithelial cells
998,Breast cancer subtype 4
999,Endothelial cells
1000,Breast cancer subtype 4
1001,Breast cancer subtype 4
1002,Breast cancer subtype 4
1003,Breast cancer subtype 4
1004,Breast cancer subtype 4
1005,T cells
1006,Breast cancer subtype 4
1007,Breast cancer subtype 4
1008,Breast cancer subtype 4
1009,Breast cancer subtype 4
1010,Breast cancer subtype 4
1011,Macrophages
1012,Breast cancer subtype 4
1013,Breast cancer subtype 4
1014,Breast cancer subtype 4
1015,Breast cancer subtype 4
1016,Breast myoepithelial cells
1017,Breast myoepithelial cells
1018,Macrophages
1019,Endothelial cells
1020,T cells
1021,T cells
1022,T cells
1025,Macrophages
1026,Smooth muscle cells
1027,T cells
1028,T cells
1029,Macrophages
1030,Endothelial cells
1031,Macrophages
1032,Breast cancer subtype 4
1034,Endothelial cells
1035,Endothelial cells
1036,Breast cancer subtype 5
1037,Breast cancer subtype 1
1038,Breast cancer subtype 3
1039,Breast cancer subtype 1
1040,B cells
1041,Stromal cells
1042,Macrophages
1043,Stromal cells
1044,T cells
1045,Macrophages
1046,B cells
1047,Stromal cells
1048,T cells
1052,Macrophages
1055,T cells
1057,B cells
1059,B cells
1061,T cells
1062,T cells
1065,Endothelial cells
1068,T cells
1071,T cells
1072,B cells
1073,B cells
1074,Stromal cells
1076,B cells
1077,B cells
1078,T cells
1079,Stromal cells
1080,B cells
1081,Macrophages
1082,Endothelial cells
1084,Endothelial cells
1085,B cells
1087,Macrophages
1088,T cells
1089,Endothelial cells
1090,Stromal cells
1091,B cells
1092,B cells
1093,T cells
1094,Breast cancer subtype 1
1095,Breast cancer subtype 4
1096,Breast cancer subtype 4
1097,Breast cancer subtype 4
1098,Breast cancer subtype 4
1099,Breast cancer subtype 1
1100,Breast cancer subtype 4
1101,Breast cancer subtype 4
1102,Breast cancer subtype 4
1103,Breast cancer subtype 4
1104,Breast cancer subtype 4
1105,Breast cancer subtype 4
1106,Breast cancer subtype 4
1107,Breast cancer subtype 4
1108,Breast cancer subtype 4
1109,Breast cancer subtype 4
1110,Breast cancer subtype 4
1111,Breast cancer subtype 4
1112,Breast cancer subtype 4
1113,Breast cancer subtype 4
1114,Breast cancer subtype 4
1115,Breast cancer subtype 4
1116,Breast cancer subtype 4
1117,Breast cancer subtype 4
1118,Breast cancer subtype 1
1119,Breast cancer subtype 4
1120,Breast cancer subtype 4
1121,Breast cancer subtype 4
1122,Breast cancer subtype 4
1123,Breast cancer subtype 4
1124,Breast cancer subtype 4
1125,Breast cancer subtype 4
1126,Breast cancer subtype 4
1127,Breast cancer subtype 4
1128,Breast cancer subtype 4
1129,Breast cancer subtype 4
1130,Breast cancer subtype 4
1131,Breast cancer subtype 4
1132,Breast cancer subtype 4
1133,Breast cancer subtype 4
1134,Breast cancer subtype 4
1135,Breast cancer subtype 4
1136,Breast cancer subtype 4
1137,Breast cancer subtype 4
1138,Breast cancer subtype 4
1139,Breast cancer subtype 4
1140,Breast cancer subtype 4
1141,Breast cancer subtype 4
1142,Breast cancer subtype 4
1143,Breast cancer subtype 4
1144,Breast cancer subtype 4
1145,Breast cancer subtype 4
1146,Breast cancer subtype 4
1147,Breast cancer subtype 4
1148,Breast cancer subtype 4
1149,Breast cancer subtype 2
1150,Breast cancer subtype 1
1151,Breast cancer subtype 4
1152,Breast cancer subtype 1
1153,Breast cancer subtype 4
1154,Breast cancer subtype 4
1155,Breast cancer subtype 4
1156,Breast cancer subtype 4
1157,Breast cancer subtype 4
1158,Breast cancer subtype 4
1159,Breast cancer subtype 4
1160,Breast cancer subtype 4
1161,Breast cancer subtype 4
1162,Breast cancer subtype 4
1163,Breast cancer subtype 4
1164,Breast cancer subtype 4
1165,Breast cancer subtype 4
1166,Breast cancer subtype 4
1167,Breast cancer subtype 4
1168,Breast cancer subtype 4
1169,Breast cancer subtype 4
1170,Breast cancer subtype 4
1171,Breast cancer subtype 4
1172,Breast cancer subtype 4
1173,Breast cancer subtype 4
1174,Breast cancer subtype 4
1175,Breast cancer subtype 4
1176,Breast cancer subtype 1
1177,Breast cancer subtype 4
1178,Macrophages
1179,Breast cancer subtype 4
1180,Breast cancer subtype 1
1181,Breast cancer subtype 1
1182,Breast cancer subtype 1
1183,Breast cancer subtype 1
1184,Endothelial cells
1185,Macrophages
1186,Breast cancer subtype 1
1187,Breast cancer subtype 1
1188,Breast cancer subtype 1
1189,Breast cancer subtype 1
1190,Breast cancer subtype 1
1191,Breast cancer subtype 1
1192,Macrophages
1193,Macrophages
1194,T cells
1195,Macrophages
1196,Breast cancer subtype 1
1197,T cells
1198,T cells
1199,Macrophages
1200,Stromal cells
1201,Macrophages
1202,Stromal cells
1203,Stromal cells
1204,Breast cancer subtype 1
1205,Macrophages
1206,Endothelial cells
1207,Breast cancer subtype 3
1208,Endothelial cells
1209,Breast cancer subtype 1
1210,Stromal cells
1211,Stromal cells
1212,Endothelial cells
