,cell_type_dc_sub_final
76054,Stromal cells
76055,Breast cancer subtype 1
76056,Breast cancer subtype 1
76057,Macrophages
76058,Breast cancer subtype 1
76059,Breast cancer subtype 1
76060,Endothelial cells
76061,Endothelial cells
76062,Endothelial cells
76063,Endothelial cells
76064,T cells
76065,Endothelial cells
76066,Smooth muscle cells
76067,B cells
76068,Smooth muscle cells
76069,B cells
76070,T cells
76072,Stromal cells
76074,Endothelial cells
76075,Endothelial cells
76076,Breast cancer subtype 1
76077,Breast cancer subtype 1
76078,Breast cancer subtype 1
76079,Breast cancer subtype 3
76081,Breast cancer subtype 3
76082,Breast cancer subtype 1
76083,Breast cancer subtype 3
76084,Stromal cells
76085,Breast cancer subtype 3
76086,Macrophages
76087,Breast cancer subtype 3
76088,Breast cancer subtype 1
76089,Macrophages
76090,Endothelial cells
76091,Breast cancer subtype 1
76092,Breast cancer subtype 3
76093,Breast cancer subtype 1
76094,Breast cancer subtype 1
76095,Endothelial cells
76096,Breast cancer subtype 1
76097,Breast cancer subtype 1
76098,Breast cancer subtype 1
76099,Breast cancer subtype 1
76100,Breast cancer subtype 1
76101,Breast cancer subtype 3
76102,Breast cancer subtype 1
76103,Breast cancer subtype 1
76104,Breast cancer subtype 1
76105,Breast cancer subtype 1
76106,Breast cancer subtype 1
76107,Breast cancer subtype 1
76108,Breast cancer subtype 1
76109,Breast cancer subtype 1
76110,Macrophages
76111,Breast cancer subtype 1
76112,Breast cancer subtype 3
76113,Breast cancer subtype 1
76114,Breast cancer subtype 1
76115,Breast cancer subtype 1
76116,Breast cancer subtype 1
76117,Breast cancer subtype 1
76118,Breast cancer subtype 1
76119,Breast cancer subtype 3
76120,Breast cancer subtype 3
76121,Breast cancer subtype 1
76122,Breast cancer subtype 1
76123,Breast cancer subtype 1
76124,Breast cancer subtype 1
76125,Breast cancer subtype 1
76126,Breast cancer subtype 3
76127,Breast cancer subtype 1
76128,Breast cancer subtype 1
76129,Breast cancer subtype 1
76130,Stromal cells
76131,Breast cancer subtype 1
76132,Breast cancer subtype 1
76133,Stromal cells
76134,Breast cancer subtype 1
76135,Breast cancer subtype 1
76136,Breast cancer subtype 1
76137,Breast cancer subtype 1
76138,Breast cancer subtype 1
76139,Breast cancer subtype 1
76140,Breast cancer subtype 3
76141,Breast cancer subtype 1
76142,Breast cancer subtype 1
76143,Breast cancer subtype 1
76144,Breast cancer subtype 1
76145,Breast cancer subtype 1
76146,Breast cancer subtype 1
76147,Breast cancer subtype 1
76148,Breast cancer subtype 1
76149,Breast cancer subtype 1
76150,Breast cancer subtype 3
76151,Breast cancer subtype 1
76152,Endothelial cells
76153,Breast cancer subtype 1
76154,Breast cancer subtype 3
76155,Breast cancer subtype 1
76156,Macrophages
76157,Breast cancer subtype 1
76158,Breast cancer subtype 1
76159,Breast cancer subtype 1
76160,Breast cancer subtype 1
76161,Breast cancer subtype 1
76162,Breast cancer subtype 3
76163,Breast cancer subtype 1
76164,Breast cancer subtype 1
76165,Breast cancer subtype 1
76166,Breast cancer subtype 1
76167,Breast cancer subtype 1
76168,Breast cancer subtype 3
76169,Breast cancer subtype 1
76170,Breast cancer subtype 1
76171,Breast cancer subtype 1
76172,Macrophages
76173,Breast cancer subtype 1
76174,Breast cancer subtype 1
76175,Breast cancer subtype 1
76176,Stromal cells
76177,T cells
76178,Breast cancer subtype 3
76179,Breast cancer subtype 1
76180,Breast cancer subtype 1
76181,Breast cancer subtype 1
76183,Breast cancer subtype 1
76184,Macrophages
76185,Breast cancer subtype 1
76186,Breast cancer subtype 1
76187,Breast cancer subtype 1
76188,Breast cancer subtype 1
76189,Macrophages
76190,Breast cancer subtype 3
76191,T cells
76192,Breast cancer subtype 1
76193,Breast cancer subtype 1
76194,Breast cancer subtype 1
76195,Breast cancer subtype 1
76196,Breast cancer subtype 1
76197,Breast cancer subtype 1
76198,Breast cancer subtype 3
76199,Breast cancer subtype 1
76200,Breast cancer subtype 1
76201,Breast cancer subtype 1
76202,Breast cancer subtype 1
76203,Breast cancer subtype 1
76204,Breast cancer subtype 3
76205,Breast cancer subtype 1
76206,Breast cancer subtype 1
76207,Breast cancer subtype 1
76208,Breast cancer subtype 1
76209,Breast cancer subtype 1
76210,Breast cancer subtype 1
76211,Breast cancer subtype 1
76212,Breast cancer subtype 1
76213,Breast cancer subtype 1
76214,Breast cancer subtype 1
76215,Breast cancer subtype 1
76216,Breast cancer subtype 1
76217,Breast cancer subtype 1
76218,Breast cancer subtype 1
76219,Breast cancer subtype 1
76220,Breast cancer subtype 1
76221,Breast cancer subtype 1
76222,Breast cancer subtype 1
76223,Breast cancer subtype 1
76224,Breast cancer subtype 1
76225,Breast cancer subtype 1
76226,Breast cancer subtype 1
76227,Breast cancer subtype 3
76228,Breast cancer subtype 1
76229,Breast cancer subtype 1
76230,Macrophages
76231,Breast cancer subtype 1
76232,Macrophages
76233,Breast cancer subtype 1
76234,Breast cancer subtype 1
76235,Breast cancer subtype 1
76236,Breast cancer subtype 1
76237,T cells
76238,T cells
76239,Breast cancer subtype 1
76240,Breast cancer subtype 1
76241,Breast cancer subtype 1
76242,Breast cancer subtype 1
76243,Breast cancer subtype 3
76244,Stromal cells
76245,Breast cancer subtype 1
76246,Breast cancer subtype 1
76247,Breast cancer subtype 1
76249,Stromal cells
76250,Stromal cells
76251,Breast cancer subtype 1
76252,Breast cancer subtype 1
76253,Macrophages
76254,Breast cancer subtype 1
76255,Breast cancer subtype 1
76256,Macrophages
76257,Stromal cells
76258,Stromal cells
76259,T cells
76260,Breast cancer subtype 1
76261,Breast cancer subtype 3
76262,Breast cancer subtype 3
76263,Macrophages
76264,B cells
76265,T cells
76266,Breast cancer subtype 1
76267,Macrophages
76268,Breast cancer subtype 1
76269,Macrophages
76270,Endothelial cells
76271,Breast cancer subtype 1
76272,Breast cancer subtype 3
76273,Breast cancer subtype 3
76274,Breast cancer subtype 1
76275,Breast cancer subtype 1
76276,Breast cancer subtype 1
76277,T cells
76278,Stromal cells
76279,Breast cancer subtype 3
76280,Endothelial cells
76281,Smooth muscle cells
76282,Breast myoepithelial cells
76284,Breast glandular cells
76285,Breast myoepithelial cells
76286,Stromal cells
76287,Breast glandular cells
76288,Breast glandular cells
76289,Breast myoepithelial cells
76290,Breast cancer subtype 5
76291,Breast glandular cells
76292,Breast myoepithelial cells
76293,Breast glandular cells
76294,Breast glandular cells
76295,Breast glandular cells
76296,Breast glandular cells
76297,Breast glandular cells
76298,Breast myoepithelial cells
76299,Breast cancer subtype 5
76300,Breast cancer subtype 1
76301,Breast cancer subtype 1
76302,Breast cancer subtype 1
76303,Breast cancer subtype 1
76304,Breast cancer subtype 1
76305,Breast cancer subtype 1
76306,Breast cancer subtype 1
76307,Breast cancer subtype 1
76308,Breast cancer subtype 1
76310,Breast cancer subtype 1
76311,Breast cancer subtype 1
76312,Breast cancer subtype 1
76313,Breast cancer subtype 3
76314,Breast cancer subtype 1
76315,Breast cancer subtype 1
76316,Breast cancer subtype 1
76317,Breast cancer subtype 1
76318,Breast cancer subtype 1
76319,Breast cancer subtype 1
76320,Breast cancer subtype 1
76321,Breast cancer subtype 1
76322,Breast cancer subtype 1
76323,Breast cancer subtype 1
76324,Breast cancer subtype 1
76325,Breast cancer subtype 1
76326,Breast cancer subtype 1
76327,Breast cancer subtype 1
76328,Breast cancer subtype 1
76329,Breast cancer subtype 1
76330,Breast cancer subtype 1
76331,Breast cancer subtype 1
76332,Breast cancer subtype 1
76333,Breast cancer subtype 1
76334,Breast cancer subtype 3
76335,Breast cancer subtype 1
76336,Breast cancer subtype 1
76337,Breast cancer subtype 1
76338,Breast cancer subtype 1
76339,Breast cancer subtype 1
76340,Breast cancer subtype 1
76341,Breast cancer subtype 1
76342,Breast cancer subtype 1
76343,Breast cancer subtype 1
76344,Breast cancer subtype 1
76345,Breast cancer subtype 1
76347,Breast cancer subtype 1
76348,Breast cancer subtype 1
76349,Breast cancer subtype 1
76350,Breast cancer subtype 3
76351,Breast cancer subtype 1
76352,Breast cancer subtype 1
76353,Breast cancer subtype 1
76354,Breast cancer subtype 1
76355,Breast cancer subtype 1
76357,Breast cancer subtype 1
76358,Breast cancer subtype 1
76359,Endothelial cells
76360,Endothelial cells
76361,Breast cancer subtype 3
76362,Endothelial cells
76363,Breast cancer subtype 1
76364,Endothelial cells
76365,Breast cancer subtype 3
76366,Endothelial cells
76367,T cells
76368,Breast cancer subtype 1
76369,Breast cancer subtype 1
76370,Endothelial cells
76371,Breast cancer subtype 1
76372,Endothelial cells
76374,Breast cancer subtype 1
76375,Breast cancer subtype 1
76376,Breast cancer subtype 1
76377,Smooth muscle cells
76378,Macrophages
76379,Breast cancer subtype 1
76380,Endothelial cells
76381,Breast cancer subtype 1
76382,Breast cancer subtype 1
76383,Breast cancer subtype 1
76384,Breast cancer subtype 1
76385,Breast cancer subtype 1
76386,Breast cancer subtype 1
76387,Breast cancer subtype 1
76388,Breast cancer subtype 1
76389,Breast cancer subtype 1
76390,Stromal cells
76391,T cells
76392,Stromal cells
76393,Stromal cells
76394,Macrophages
76395,Stromal cells
76396,T cells
76397,T cells
76398,Macrophages
76399,T cells
76400,Endothelial cells
76401,Macrophages
76402,Macrophages
76403,T cells
76404,T cells
76405,Stromal cells
76406,Stromal cells
76407,B cells
76408,T cells
76409,T cells
76411,Endothelial cells
76412,T cells
76413,Macrophages
76414,Macrophages
76415,T cells
76416,Macrophages
76417,Stromal cells
76418,Macrophages
76419,T cells
76420,Stromal cells
76421,Stromal cells
76422,T cells
76423,Stromal cells
76424,T cells
76425,Stromal cells
76426,T cells
76427,Macrophages
76428,Stromal cells
76429,Stromal cells
76430,B cells
76431,B cells
76432,Macrophages
76433,Stromal cells
76434,Macrophages
76435,Stromal cells
76437,Stromal cells
76438,T cells
76439,T cells
76440,Stromal cells
76441,Macrophages
76443,Stromal cells
76444,T cells
76445,B cells
76446,Stromal cells
76447,T cells
76448,Breast cancer subtype 3
76449,Endothelial cells
76450,Breast cancer subtype 3
76451,Endothelial cells
76452,Breast cancer subtype 1
76453,Endothelial cells
76455,Breast cancer subtype 1
76456,Stromal cells
76457,Breast cancer subtype 1
76458,Breast cancer subtype 1
76459,T cells
76460,Breast cancer subtype 1
76461,Breast cancer subtype 1
76462,Breast cancer subtype 1
76463,Breast cancer subtype 1
76464,Breast cancer subtype 1
76465,Breast cancer subtype 1
76466,Breast cancer subtype 1
76467,Breast cancer subtype 1
76468,Breast cancer subtype 1
76470,T cells
76471,T cells
76473,Macrophages
76475,Stromal cells
76477,Stromal cells
76478,Stromal cells
76479,T cells
76480,T cells
76481,T cells
76482,T cells
76483,Macrophages
76484,Stromal cells
76485,T cells
76486,Macrophages
76487,Smooth muscle cells
76488,Stromal cells
76489,Smooth muscle cells
76490,B cells
76491,B cells
76492,B cells
76493,Macrophages
76494,Stromal cells
76495,Macrophages
76496,Stromal cells
76497,Stromal cells
76498,Macrophages
76499,Stromal cells
76500,Stromal cells
76501,Macrophages
76502,B cells
76503,B cells
76504,B cells
76505,B cells
76506,Macrophages
76507,T cells
76508,B cells
76509,Stromal cells
76510,T cells
76511,T cells
76512,Macrophages
76514,B cells
76515,Macrophages
76516,B cells
76517,T cells
76518,Stromal cells
76519,B cells
76520,T cells
76521,B cells
76522,T cells
76523,T cells
76524,T cells
76525,B cells
76526,T cells
76527,Macrophages
76528,T cells
76529,Macrophages
76530,T cells
76531,T cells
76532,B cells
76533,Macrophages
76534,Endothelial cells
76535,Macrophages
76536,Macrophages
76537,Endothelial cells
76538,T cells
76539,Stromal cells
76540,Macrophages
76541,T cells
76542,Stromal cells
76543,Macrophages
76544,Stromal cells
76545,Stromal cells
76546,Stromal cells
76547,Stromal cells
76548,Stromal cells
76549,Stromal cells
76550,T cells
76551,Stromal cells
76552,Stromal cells
76553,T cells
76554,Stromal cells
76555,Stromal cells
76556,T cells
76557,T cells
76558,Macrophages
76559,T cells
76560,Stromal cells
76561,T cells
76562,Endothelial cells
76563,Endothelial cells
76564,T cells
76565,Macrophages
76566,T cells
76567,T cells
76568,T cells
76570,T cells
76571,Macrophages
76572,Endothelial cells
76573,Macrophages
76574,T cells
76575,B cells
76576,Endothelial cells
76577,Macrophages
76578,Stromal cells
76579,Stromal cells
76581,T cells
76582,Macrophages
76583,Endothelial cells
76584,Macrophages
76585,Macrophages
76586,T cells
76587,T cells
76588,Stromal cells
76589,T cells
76590,Stromal cells
76591,Stromal cells
76592,Endothelial cells
76593,Endothelial cells
76594,Endothelial cells
76595,T cells
76597,T cells
76598,Smooth muscle cells
76599,T cells
76600,B cells
76601,Endothelial cells
76602,Breast cancer subtype 5
76603,Breast cancer subtype 5
76604,Macrophages
76605,Breast cancer subtype 5
76606,Breast glandular cells
76607,Macrophages
76608,Breast cancer subtype 5
76609,Stromal cells
76610,Breast myoepithelial cells
76611,Breast cancer subtype 5
76612,Breast myoepithelial cells
76613,Breast cancer subtype 5
76614,Stromal cells
76615,Breast cancer subtype 5
76616,Breast cancer subtype 5
76617,Breast myoepithelial cells
76618,Stromal cells
76619,Breast cancer subtype 5
76620,Stromal cells
76621,Macrophages
76622,Breast cancer subtype 5
76623,Breast cancer subtype 5
76624,Stromal cells
76625,Macrophages
76626,Breast cancer subtype 5
76627,Breast myoepithelial cells
76628,T cells
76629,Breast cancer subtype 5
76630,Breast cancer subtype 5
76631,Breast cancer subtype 5
76632,Breast cancer subtype 5
76633,Stromal cells
76634,Breast cancer subtype 5
76635,Stromal cells
76636,Breast cancer subtype 5
76637,Breast cancer subtype 5
76638,Stromal cells
76639,Breast myoepithelial cells
76640,Stromal cells
76641,Breast cancer subtype 5
76642,Breast myoepithelial cells
76643,Breast cancer subtype 5
76644,Stromal cells
76645,T cells
76646,T cells
76647,Breast myoepithelial cells
76648,Breast cancer subtype 5
76649,Stromal cells
76650,Stromal cells
76651,Breast myoepithelial cells
76652,Breast myoepithelial cells
76653,Breast myoepithelial cells
76654,Stromal cells
76655,Stromal cells
76656,Stromal cells
76657,Stromal cells
76658,Stromal cells
76660,T cells
76661,T cells
76662,Macrophages
76663,Stromal cells
76664,Stromal cells
76665,Macrophages
76666,T cells
76667,Macrophages
76668,Stromal cells
76669,Stromal cells
76670,Macrophages
76671,T cells
76672,T cells
76673,Stromal cells
76674,Macrophages
76675,Macrophages
76676,T cells
76677,Stromal cells
76678,Macrophages
76679,T cells
76680,T cells
76681,Breast myoepithelial cells
76682,T cells
76683,Stromal cells
76684,Macrophages
76685,Stromal cells
76686,Breast cancer subtype 5
76687,Macrophages
76688,Stromal cells
76689,T cells
76690,Stromal cells
76691,Breast myoepithelial cells
76692,Stromal cells
76693,Breast cancer subtype 5
76694,Endothelial cells
76695,Breast myoepithelial cells
76696,Macrophages
76697,Stromal cells
76698,Macrophages
76699,Smooth muscle cells
76700,Stromal cells
76701,T cells
76702,Breast myoepithelial cells
76703,Stromal cells
76704,T cells
76705,Breast cancer subtype 5
76706,Macrophages
76707,T cells
76708,Macrophages
76709,Breast myoepithelial cells
76710,T cells
76711,Breast myoepithelial cells
76712,Breast cancer subtype 5
76713,T cells
76714,T cells
76715,Breast myoepithelial cells
76716,Breast cancer subtype 5
76717,T cells
76718,Stromal cells
76719,T cells
76720,T cells
76721,T cells
76722,Stromal cells
76723,T cells
76724,Stromal cells
76725,Endothelial cells
76726,Macrophages
76727,T cells
76728,T cells
76729,T cells
76730,B cells
76731,T cells
76732,T cells
76733,T cells
76734,Stromal cells
76735,T cells
76736,T cells
76737,T cells
76738,T cells
76739,T cells
76740,B cells
76741,T cells
76742,Macrophages
76743,B cells
76744,T cells
76745,B cells
76746,B cells
76747,Macrophages
76748,B cells
76749,Macrophages
76750,T cells
76751,Macrophages
76752,T cells
76753,T cells
76755,B cells
76756,T cells
76757,B cells
76758,T cells
76759,B cells
76760,B cells
76761,B cells
76762,Stromal cells
76763,T cells
76764,Macrophages
76765,Macrophages
76766,Endothelial cells
76767,T cells
76768,Stromal cells
76769,Stromal cells
76770,Endothelial cells
76771,Endothelial cells
76772,Macrophages
76773,T cells
76774,T cells
76775,Stromal cells
76776,T cells
76777,T cells
76778,T cells
76779,Stromal cells
76780,Stromal cells
76781,Macrophages
76782,Endothelial cells
76783,T cells
76784,T cells
76785,Stromal cells
76786,Stromal cells
76787,Stromal cells
76788,Macrophages
76789,Stromal cells
76790,Stromal cells
76791,Stromal cells
76792,Macrophages
76793,Endothelial cells
76794,T cells
76795,B cells
76796,Stromal cells
76797,Macrophages
76798,T cells
76799,B cells
76800,B cells
76801,T cells
76803,Stromal cells
76804,T cells
76805,Stromal cells
76806,T cells
76807,Stromal cells
76808,Macrophages
76809,Endothelial cells
76810,Stromal cells
76811,Stromal cells
76812,Stromal cells
76814,T cells
76815,Smooth muscle cells
76816,B cells
76817,Endothelial cells
76818,Macrophages
76819,Macrophages
76820,Stromal cells
76822,B cells
76823,T cells
76824,B cells
76825,B cells
76826,B cells
76827,B cells
76828,B cells
76829,Stromal cells
76830,Stromal cells
76831,B cells
76832,Stromal cells
76833,T cells
76834,B cells
76835,T cells
76836,Macrophages
76837,Macrophages
76838,B cells
76839,Stromal cells
76840,Stromal cells
76841,Stromal cells
76842,B cells
76843,Macrophages
76844,Macrophages
76845,Macrophages
76846,T cells
76847,Stromal cells
76848,T cells
76849,Macrophages
76850,T cells
76851,Macrophages
76852,B cells
76853,T cells
76854,Macrophages
76855,Stromal cells
76856,T cells
76857,T cells
76858,Macrophages
76859,B cells
76860,T cells
76861,T cells
76862,Endothelial cells
76863,T cells
76864,T cells
76865,T cells
76866,B cells
76867,Stromal cells
76868,Macrophages
76869,T cells
76870,Smooth muscle cells
76871,Macrophages
76872,Stromal cells
76873,T cells
76874,Stromal cells
76875,Endothelial cells
76876,Stromal cells
76877,T cells
76878,T cells
76879,T cells
76880,Stromal cells
76881,Stromal cells
76882,T cells
76883,T cells
76884,T cells
76885,Stromal cells
76886,T cells
76887,Stromal cells
76888,T cells
76889,T cells
76890,Stromal cells
76891,T cells
76892,T cells
76893,Macrophages
76894,T cells
76895,Macrophages
76896,Stromal cells
76897,Stromal cells
76898,Stromal cells
76899,Stromal cells
76900,T cells
76901,T cells
76902,B cells
76903,Stromal cells
76904,T cells
76905,Macrophages
76906,Stromal cells
76907,Stromal cells
76908,T cells
76909,T cells
76910,T cells
76911,T cells
76912,T cells
76913,Stromal cells
76914,T cells
76915,Stromal cells
76916,T cells
76917,Macrophages
76918,T cells
76919,Stromal cells
76920,T cells
76921,T cells
76922,Macrophages
76923,T cells
76924,B cells
76925,T cells
76926,T cells
76927,T cells
76928,T cells
76929,Macrophages
76930,T cells
76932,T cells
76933,T cells
76934,T cells
76935,Macrophages
76936,B cells
76937,Stromal cells
76938,T cells
76939,Macrophages
76940,B cells
76941,T cells
76942,T cells
76943,B cells
76944,T cells
76945,Macrophages
76946,T cells
76947,Stromal cells
76948,B cells
76949,Stromal cells
76950,B cells
76951,T cells
76952,B cells
76953,T cells
76954,T cells
76955,T cells
76956,Macrophages
76958,B cells
76959,B cells
76960,T cells
76961,Stromal cells
76962,B cells
76963,T cells
76964,T cells
76965,Macrophages
76969,B cells
76970,Macrophages
76971,T cells
76974,Macrophages
76975,Macrophages
76976,T cells
76978,Stromal cells
76979,Stromal cells
76980,B cells
76983,B cells
76984,Macrophages
76985,B cells
76986,T cells
76987,B cells
76989,Stromal cells
76990,T cells
76991,B cells
76992,B cells
76993,Stromal cells
76994,B cells
76995,T cells
76996,T cells
76997,T cells
76998,Endothelial cells
76999,Stromal cells
77000,B cells
77001,Macrophages
77002,T cells
77003,Stromal cells
77004,T cells
77005,T cells
77006,Stromal cells
77007,Stromal cells
77008,Macrophages
77009,T cells
77010,T cells
77011,T cells
77012,T cells
77013,T cells
77014,Stromal cells
77015,T cells
77016,Macrophages
77017,Macrophages
77018,T cells
77019,Smooth muscle cells
77020,T cells
77021,Smooth muscle cells
77022,T cells
77023,T cells
77024,Stromal cells
77025,Macrophages
77026,Smooth muscle cells
77027,Stromal cells
77028,T cells
77029,Smooth muscle cells
77030,Macrophages
77031,Smooth muscle cells
77032,Smooth muscle cells
77033,Endothelial cells
77034,T cells
77035,Smooth muscle cells
77036,Endothelial cells
77037,Smooth muscle cells
77038,Endothelial cells
77039,T cells
77040,B cells
77041,Smooth muscle cells
77042,T cells
77043,Stromal cells
77044,Smooth muscle cells
77045,Smooth muscle cells
77046,B cells
77047,Stromal cells
77048,Macrophages
77049,Stromal cells
77050,Smooth muscle cells
77051,T cells
77052,Macrophages
77053,T cells
77054,B cells
77055,T cells
77057,Stromal cells
77058,T cells
77059,Macrophages
77060,B cells
77061,Macrophages
77062,Macrophages
77063,T cells
77064,Macrophages
77065,Stromal cells
77066,B cells
77067,T cells
77071,B cells
77073,Macrophages
77074,T cells
77075,T cells
77076,B cells
77077,T cells
77079,T cells
77080,B cells
77081,T cells
77082,T cells
77083,T cells
77084,T cells
77085,B cells
77086,Smooth muscle cells
77087,Smooth muscle cells
77088,T cells
77089,Endothelial cells
77090,Smooth muscle cells
77091,Endothelial cells
77092,Endothelial cells
77093,Macrophages
77094,Endothelial cells
77095,T cells
77096,Endothelial cells
77097,Stromal cells
77098,T cells
77099,Endothelial cells
77100,T cells
77101,T cells
77102,T cells
77103,Smooth muscle cells
77104,T cells
77105,Macrophages
77106,T cells
77107,T cells
77108,B cells
77109,T cells
77110,T cells
77111,Stromal cells
77112,T cells
77113,T cells
77114,T cells
77115,T cells
77116,T cells
77117,T cells
77118,T cells
77119,T cells
77120,T cells
77121,B cells
77122,Stromal cells
77123,T cells
77124,T cells
77125,Macrophages
77127,Stromal cells
77128,Stromal cells
77129,T cells
77130,B cells
77131,Stromal cells
77132,T cells
77133,T cells
77135,Macrophages
77136,T cells
77137,T cells
77138,T cells
77139,Macrophages
77140,T cells
77141,T cells
77142,Stromal cells
77143,Stromal cells
77144,B cells
77145,B cells
77147,T cells
77148,B cells
77149,T cells
77150,T cells
77151,T cells
77152,B cells
77153,T cells
77155,T cells
77156,T cells
77157,T cells
77158,Endothelial cells
77159,T cells
77160,B cells
77161,T cells
77162,Endothelial cells
77163,T cells
77164,Stromal cells
77165,Stromal cells
77166,Endothelial cells
77167,Endothelial cells
77168,B cells
77169,Macrophages
77170,T cells
77171,Stromal cells
77172,Stromal cells
77173,T cells
77174,Macrophages
77175,T cells
77176,T cells
77177,Endothelial cells
77178,Stromal cells
77179,Stromal cells
77180,Macrophages
77182,Endothelial cells
77184,T cells
77186,T cells
77187,T cells
77188,T cells
77189,Stromal cells
77190,B cells
77191,B cells
77192,Stromal cells
77193,T cells
77194,T cells
77195,T cells
77196,T cells
77197,T cells
77198,T cells
77199,T cells
77200,T cells
77201,T cells
77202,Macrophages
77203,B cells
77204,Stromal cells
77205,Stromal cells
77206,T cells
77207,T cells
77208,T cells
77209,T cells
77210,Stromal cells
77211,Macrophages
77212,T cells
77213,T cells
77214,T cells
77215,Macrophages
77216,Macrophages
77217,T cells
77218,T cells
77219,T cells
77220,B cells
77221,T cells
77222,T cells
77223,T cells
77224,T cells
77225,T cells
77226,T cells
77227,T cells
77228,T cells
77229,Macrophages
77230,Stromal cells
77231,Macrophages
77232,Smooth muscle cells
77233,T cells
77234,T cells
77235,T cells
77236,Stromal cells
77239,T cells
77240,Smooth muscle cells
77241,Macrophages
77242,Stromal cells
77243,B cells
77244,Stromal cells
77245,Stromal cells
77246,T cells
77247,Macrophages
77248,T cells
77249,B cells
77250,Endothelial cells
77251,T cells
77252,Stromal cells
77253,T cells
77254,Smooth muscle cells
77255,Stromal cells
77256,B cells
77257,Stromal cells
77258,Macrophages
77259,T cells
77260,Macrophages
77261,Breast myoepithelial cells
77262,Breast myoepithelial cells
77263,Stromal cells
77264,Breast myoepithelial cells
77265,Breast myoepithelial cells
77266,B cells
77267,Breast glandular cells
77268,Breast glandular cells
77269,Breast myoepithelial cells
77270,Breast glandular cells
77271,Breast myoepithelial cells
77272,Breast glandular cells
77273,Breast glandular cells
77274,Breast myoepithelial cells
77275,Breast glandular cells
77276,Breast myoepithelial cells
77277,T cells
77278,Breast glandular cells
77279,T cells
77280,Smooth muscle cells
77281,Macrophages
77282,Smooth muscle cells
77283,Macrophages
77284,B cells
77285,B cells
77286,Macrophages
77287,B cells
77288,Macrophages
77289,B cells
77290,Stromal cells
77291,Stromal cells
77292,Stromal cells
77293,B cells
77294,T cells
77295,Stromal cells
77296,Stromal cells
77298,Macrophages
77299,B cells
77300,T cells
77301,B cells
77302,B cells
77303,B cells
77304,Stromal cells
77306,B cells
77307,Macrophages
77308,T cells
77309,Stromal cells
77310,T cells
77311,Stromal cells
77312,Macrophages
77313,Stromal cells
77314,T cells
77315,T cells
77316,T cells
77317,Stromal cells
77318,T cells
77319,T cells
77320,Stromal cells
77321,Stromal cells
77322,Stromal cells
77323,B cells
77324,B cells
77325,Stromal cells
77326,T cells
77327,B cells
77328,Stromal cells
77329,T cells
77330,Macrophages
77331,T cells
77332,Stromal cells
77333,Stromal cells
77334,Macrophages
77335,T cells
77336,Macrophages
77337,B cells
77338,Stromal cells
77339,T cells
77340,Macrophages
77341,Stromal cells
77342,T cells
77343,Macrophages
77344,Stromal cells
77345,Macrophages
77346,Macrophages
77347,B cells
77348,T cells
77349,Stromal cells
77350,B cells
77351,B cells
77352,Stromal cells
77353,T cells
77354,B cells
77355,B cells
77356,B cells
77357,Macrophages
77358,T cells
77359,T cells
77360,Stromal cells
77361,T cells
77362,Macrophages
77363,Stromal cells
77364,T cells
77365,Macrophages
77366,B cells
77367,B cells
77368,Stromal cells
77369,Stromal cells
77370,Stromal cells
77371,Macrophages
77372,B cells
77373,T cells
77374,Macrophages
77375,Stromal cells
77376,B cells
77377,Stromal cells
77378,B cells
77380,B cells
77381,Macrophages
77382,Stromal cells
77383,Stromal cells
77384,Macrophages
77385,Stromal cells
77386,B cells
77387,Stromal cells
77388,Stromal cells
77389,T cells
77390,Stromal cells
77391,Stromal cells
77392,Stromal cells
77393,Macrophages
77394,B cells
77395,Macrophages
77396,Stromal cells
77397,B cells
77398,Stromal cells
77399,Stromal cells
77400,Macrophages
77401,Macrophages
77402,Macrophages
77403,Stromal cells
77404,Stromal cells
77405,Stromal cells
77406,T cells
77407,B cells
77408,Macrophages
77409,B cells
77410,B cells
77411,Macrophages
77412,Macrophages
77413,T cells
77414,B cells
77415,Stromal cells
77416,Stromal cells
77417,B cells
77418,Macrophages
77419,Stromal cells
77420,Macrophages
77421,B cells
77422,Stromal cells
77423,Stromal cells
77424,B cells
77425,Macrophages
77426,B cells
77427,Stromal cells
77428,B cells
77429,B cells
77430,Macrophages
77431,Macrophages
77432,Macrophages
77433,Macrophages
77434,Stromal cells
77435,B cells
77436,T cells
77437,Stromal cells
77438,Stromal cells
77439,Macrophages
77440,Stromal cells
77441,T cells
77442,Stromal cells
77443,B cells
77444,T cells
77445,Macrophages
77446,Stromal cells
77447,Macrophages
77448,Macrophages
77449,Stromal cells
77451,T cells
77452,Endothelial cells
77453,T cells
77454,T cells
77455,Endothelial cells
77456,Smooth muscle cells
77457,Stromal cells
77458,Endothelial cells
77459,T cells
77460,Stromal cells
77461,T cells
77462,T cells
77463,Stromal cells
77464,T cells
77465,T cells
77466,T cells
77467,T cells
77468,T cells
77469,Stromal cells
77470,Stromal cells
77471,Stromal cells
77472,Macrophages
77473,B cells
77474,T cells
77475,T cells
77476,T cells
77477,Stromal cells
77478,Stromal cells
77479,Endothelial cells
77480,Stromal cells
77481,Stromal cells
77482,T cells
77483,Stromal cells
77484,Stromal cells
77485,Stromal cells
77486,Stromal cells
77487,Stromal cells
77488,T cells
77489,Stromal cells
77490,B cells
77491,T cells
77492,Stromal cells
77493,Endothelial cells
77495,T cells
77496,T cells
77497,Stromal cells
77498,Stromal cells
77499,Macrophages
